Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:60680000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
60680000;1;10/11/2003;01/01/1900 12:30;263;10/11/2003;01/01/1900 10:10;263;120;"109,398";"146,83";"70,0";"0,745";"160,0";120;"24,6";"176,78";"70,0";
60680000;1;06/08/2003;01/01/1900 11:30;262;06/08/2003;01/01/1900 08:30;262;72;"55,656";"110,54";"69,0";"0,503";"5,5";72;"22,0";"6,85";"84,0";
60680000;1;12/12/2002;01/01/1900 10:50;261;12/12/2002;01/01/1900 08:30;261;79;"59,258";"116,52";"69,6";"0,508";"20,99";79;"26,8";"26,25";"100,0";
60680000;1;27/09/2002;01/01/1900 10:40;260;27/09/2002;01/01/1900 08:30;260;70;"64,257";"107,11";"70,6";"0,6";"16,32";70;"28,0";"20,4";"103,0";
60680000;1;23/05/2002;01/01/1900 10:00;259;23/05/2002;01/01/1900 07:45;259;130;"108,679";"147,37";"69,7";"0,737";"29,38";130;;"34,58";"71,0";4
60680000;1;05/02/2002;01/01/1900 11:42;258;05/02/2002;01/01/1900 09:00;258;233;"266,875";"221,75";"71,0";"1,203";"254,08";241;"29,1";"224,4";"68,0";
60680000;1;25/10/2001;01/01/1900 11:50;8;25/10/2001;01/01/1900 09:40;257;114;"90,301";"136,43";"69,2";"0,662";"61,68";113;;"67,96";"83,77";
60680000;1;26/07/2001;01/01/1900 10:25;7;26/07/2001;01/01/1900 08:00;256;78;"56,508";"112,43";"69,9";"0,503";"10,34";;;"14,16";"78,0";
60680000;1;11/10/2000;01/01/1900 10:45;1;11/10/2000;01/01/1900 11:00;1;62;"45,74";;;;"13,36";60;"28,2";"12,42";"109,6";
60680000;1;27/07/2000;01/01/1900 13:00;1;27/07/2000;01/01/1900 14:40;1;92;"68,86";;;;"23,54";92;"21,3";"17,1";"85,3";
60680000;1;18/05/2000;01/01/1900 12:25;2;18/05/2000;01/01/1900 12:25;2;131;"122,0";"153,0";"71,0";"0,796";"33,73";131;;"37,99";"70,78";não foi encontrada medição nesta data
60680000;1;18/01/2000;01/01/1900 12:40;1;18/01/2000;01/01/1900 12:40;1;171;"173,0";"180,8";"71,1";"0,956";"84,36";170;;"86,51";"77,9";não foi encontrada medição nesta data
60680000;1;14/04/1993;01/01/1900 07:00;3;14/04/1993;01/01/1900 07:00;229;228;"251,0";"217,0";"71,9";"1,156";"151,76";;;;;
60680000;1;01/06/1992;01/01/1900 07:00;2;01/06/1992;01/01/1900 07:00;228;151;"138,0";"163,6";"68,3";"0,844";"32,06";;;;;
