Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoSecao: 1 = Régua, 2 = Medição

Restrições da consulta:
Código da Estação:60635000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumLevantamento;TipoSecao;NumVerticais;DistanciaPIPF;EixoXDistMaxima;EixoXDistMinima;EixoYCotaMaxima;EixoYCotaMinima;ElmGeomPassoCota;Observacoes;Vertical
60635000;2;16/10/2010;;0;2;27;"44,1";"64,8118";"20,7118";"-23,0";"386,0";"10,0";;"0,7118,357|22,2118,363|24,2118,283|26,7118,222|27,9118,51|28,7118,-7|29,5118,-7|30,3118,-5|31,1118,-1|31,9118,0|32,7118,1|33,5118,1|34,3118,1|35,1118,-7|35,9118,-9|36,7118,-11|37,5118,-14|38,3118,-18|39,1118,-20|40,7118,-23|41,5118,-12|41,8118,51|47,3118,273|49,7118,269|54,7118,294|59,7118,321|64,8118,386|"
60635000;2;31/08/2009;;0;2;31;"43,85";"63,787";"19,937";"-41,0";"386,0";"10,0";;"9,937,356|21,437,369|22,637,314|27,137,279|27,437,40|28,437,-19|29,437,-12|30,437,-13|31,437,-3|31,937,0|32,437,0|32,937,5|33,437,8|33,937,6|34,437,2|34,937,-2|35,437,-5|35,937,-10|36,437,-12|36,937,-15|37,437,-17|38,437,-28|39,437,-41|40,437,-30|40,737,40|41,037,155|44,037,204|45,737,272|49,637,267|55,637,295|63,787,386|"
60635000;2;10/10/2008;;0;2;27;"29,7";"50,9563";"21,2563";"-42,0";"355,0";"10,0";;"1,2563,355|22,9563,332|23,9563,309|25,9563,242|27,4563,189|27,9563,37|28,4563,-20|28,9563,-21|29,4563,-15|29,9563,-15|30,9563,-15|31,9563,-7|32,9563,-2|33,9563,5|34,9563,-1|35,9563,-12|36,9563,-23|37,9563,-26|38,9563,-33|39,9563,-42|40,4563,-36|40,9563,-37|41,4563,37|41,8563,158|45,8563,231|46,8563,272|50,9563,268|"
60635000;2;12/07/2008;;0;1;26;"65,4";"65,4";"0,0";"-44,0";"386,0";"10,0";;",341|20,361|23,5,288|25,243|27,194|27,2,44|28,2,-18|29,2,-9|30,2,-7|31,2,2|32,2,3|33,2,8|34,2,3|35,2,-6|36,2,-12|37,2,-22|38,2,-31|39,2,-44|40,2,-35|40,4,44|40,6,160|43,1,197|45,4,273|49,4,276|52,4,285|65,4,386|"
60635000;2;27/09/2007;;0;2;39;"45,7";"61,6679";"15,9679";"-39,0";"366,0";"10,0";;"7,4179,32|27,9179,-2|28,4179,-2|28,9179,-16|29,4179,-17|29,9179,12|30,4179,-4|30,9179,-2|31,4179,-2|31,9179,2|32,4179,4|32,9179,12|33,4179,6|33,9179,4|34,4179,-4|34,9179,-8|35,4179,-13|35,9179,-17|36,4179,-18|36,9179,-26|37,4179,-28|37,9179,-28|38,4179,-34|38,9179,-36|39,4179,-39|39,9179,-34|40,5179,32|41,3179,158|44,118,204|45,9179,272|49,6679,268|53,6679,287|61,6679,366|15,9679,340|19,9679,357|21,4179,366|22,4179,329|24,4179,255|25,9179,222|"
60635000;2;25/08/2006;;0;2;42;"83,9";"94,3645";"10,4645";"-33,0";"658,0";"10,0";;"0,4645,341|15,4645,336|20,4645,359|22,4645,347|24,4645,267|26,4645,209|27,5645,53|27,9645,16|28,4645,9|28,9645,10|29,4645,-16|29,9645,-11|30,4645,-17|30,9645,-11|31,4645,-3|31,9645,-1|32,4645,2|32,9645,3|33,4645,11|33,9645,8|34,4645,4|34,9645,1|35,4645,-8|35,9645,-10|36,4645,-18|36,9645,-26|37,9645,-33|38,9645,-26|39,9645,-16|40,4645,9|40,9645,53|42,9645,175|44,9645,228|46,9645,273|50,3645,269|54,3645,289|58,3645,323|62,3645,367|66,3645,422|70,3645,480|74,3645,529|94,3645,658|"
60635000;2;19/08/2005;01/01/1900 07:00;0;2;33;"42,3";"58,4011";"16,101";"-37,0";"366,0";"10,0";;"9,401,-18|29,901,-3|30,401,-10|30,901,-2|31,401,1|31,901,1|32,4011,13|33,4011,12|34,4011,5|35,4011,-12|36,4011,-20|37,4011,-28|38,4011,-37|39,4011,-13|40,4011,38|41,4011,141|43,4011,179|44,4011,201|45,4011,240|46,4011,275|50,4011,270|54,4011,290|58,4011,320|16,101,343|18,101,366|20,101,361|22,401,335|24,401,263|26,401,191|27,401,38|27,901,-20|28,401,-17|28,901,-16|"
60635000;2;13/08/2004;01/01/1900 07:00;0;2;31;"-47,7";"16,4731";"64,1731";"-17,0";"385,0";"10,0";;"6,4731,341|20,4731,363|22,8031,344|24,4731,268|26,4731,193|27,4731,68|28,1731,-12|28,6731,-17|29,6731,-15|30,6731,-7|31,6731,-5|32,1731,6|32,6731,8|33,1731,8|33,6731,13|34,1731,8|34,6731,5|35,1731,-2|35,6731,-9|36,6731,-7|37,6731,-5|38,6731,10|39,6731,40|40,4731,68|41,4731,138|43,4731,184|45,4731,257|47,4731,272|50,1731,272|54,1731,292|64,1731,385|"
60635000;2;28/07/2003;01/01/1900 07:00;0;2;29;"37,9";"54,533";"16,633";"-38,0";"365,0";"10,0";;"6,633,346|20,633,354|22,233,365|23,233,311|27,233,155|27,733,54|28,233,4|28,733,2|29,233,1|29,733,3|30,233,2|30,733,0|31,733,6|32,733,14|33,733,13|34,733,9|35,733,-4|36,733,-16|37,733,-27|38,733,-26|39,733,-38|40,233,-29|40,533,54|41,033,125|43,033,161|45,533,235|46,533,277|50,533,273|54,533,291|"
60635000;2;10/07/2002;01/01/1900 07:00;0;2;28;"41,7";"62,0121";"20,3121";"-48,0";"368,0";"10,0";;"0,3121,353|21,8121,368|22,8121,314|26,6121,163|27,1121,61|28,1121,1|29,1121,-1|30,1121,-4|31,1121,9|31,6121,11|32,1121,13|32,6121,11|33,1121,10|33,6121,9|34,1121,6|34,6121,1|35,1121,-6|35,6121,-8|36,6121,-24|37,6121,-33|38,6121,-48|39,6121,-29|39,9121,61|40,4121,119|43,4121,182|45,7121,275|50,0121,268|62,0121,358|"
60635000;2;19/08/2000;01/01/1900 07:00;0;2;29;"50,1";"66,1003";"16,0003";"-40,0";"413,0";"10,0";;"8,7003,3|29,7003,0|30,7003,4|31,7003,18|32,7003,13|33,7003,12|34,7003,5|35,7003,-9|36,7003,-20|37,7003,-33|38,7003,-40|39,5003,-2|39,6003,51|40,2003,96|41,7003,120|43,7003,186|45,2003,255|50,1003,267|58,1003,316|66,1003,413|16,0003,341|20,0003,357|22,0003,357|23,0003,302|24,5003,253|26,0003,186|27,0003,129|27,2003,51|27,7003,12|"
60635000;2;20/08/1999;01/01/1900 07:00;1;2;35;"41,4";"58,0335";"16,6335";"-40,0";"358,0";"10,0";;"6,6335,344|20,6335,358|22,6335,357|23,6335,300|25,6335,236|27,1335,171|27,7335,101|28,3335,35|29,3335,2|29,8335,3|30,3335,6|30,8335,7|31,3335,13|31,8335,14|32,3335,17|32,8335,18|33,3335,16|33,8335,18|34,3335,17|34,8335,13|35,3335,8|35,8335,2|36,3335,-4|36,8335,-6|37,3335,-16|37,8335,-40|38,3335,-28|38,8335,-16|39,6335,35|41,2335,96|43,2335,163|44,7335,240|46,7335,272|50,0335,267|58,0335,316|"
60635000;2;18/08/1998;01/01/1900 07:00;1;2;38;"42,4";"58,635";"16,235";"-36,0";"364,0";"10,0";;"1,735,20|32,235,17|32,735,14|33,235,21|33,735,20|34,235,14|34,735,10|35,235,2|35,735,0|36,235,-6|36,735,-19|37,235,-33|37,735,-36|38,535,42|39,535,74|41,535,100|42,535,137|43,835,178|45,835,269|47,835,268|50,535,273|54,535,289|58,635,313|16,235,346|20,235,363|22,035,364|23,035,304|24,235,264|25,735,222|26,735,173|27,135,121|27,735,42|28,735,3|29,235,7|29,735,9|30,235,11|30,735,12|31,235,17|"
60635000;2;15/08/1997;01/01/1900 07:00;1;2;34;"36,9";"53,7692";"16,8692";"-37,0";"364,0";"10,0";;"6,8692,324|20,8692,364|22,7692,358|24,7692,278|26,7692,198|27,8692,79|28,3692,1|28,8692,4|29,3692,8|29,8692,9|30,3692,11|30,8692,14|31,3692,16|31,8692,19|32,3692,21|32,8692,21|33,3692,22|33,8692,24|34,3692,17|34,8692,14|35,3692,7|35,8692,-2|36,3692,-6|36,8692,-12|37,3692,-34|37,8692,-37|38,3692,-37|39,8692,79|41,3692,97|43,9692,169|45,7692,247|47,2692,277|50,7692,275|53,7692,257|"
60635000;2;10/08/1996;01/01/1900 07:00;1;2;24;"35,8";"52,5609";"16,7609";"7,0";"370,0";"10,0";;"6,7609,339|20,7609,370|22,7609,361|26,7609,203|28,0609,66|28,5609,16|29,0609,7|29,5609,8|30,0609,13|30,5609,13|31,0609,18|31,5609,23|32,0609,26|32,5609,26|33,0609,26|33,5609,28|34,0609,26|34,5609,28|35,0609,31|38,5609,66|42,5609,142|46,5609,278|50,5609,276|52,5609,282|"
60635000;2;29/09/1995;01/01/1900 07:00;1;2;35;"38,1";"55,0149";"16,9149";"-6,0";"383,0";"10,0";;"2,2149,91|44,2149,168|45,2149,219|46,7149,272|51,0149,272|55,0149,283|16,9149,383|20,9149,366|22,9149,359|24,1149,288|26,1149,225|27,1149,183|27,4149,130|28,2149,63|28,7149,2|29,2149,5|29,7149,7|30,2149,20|30,7149,24|31,2149,18|31,7149,22|32,2149,23|32,7149,20|33,2149,21|33,7149,21|34,2149,21|34,7149,20|35,2149,16|35,7149,6|36,2149,-6|36,7149,-5|37,2149,-4|37,7149,-5|38,2149,8|41,5149,63|"
60635000;2;19/07/1994;01/01/1900 07:00;1;2;32;"31,2";"51,5505";"20,3505";"-17,0";"404,0";"10,0";;"0,3505,404|22,3505,394|23,3505,331|24,5505,289|25,8505,225|26,4505,198|26,8505,140|27,6505,84|27,8505,12|28,3505,4|28,8505,5|29,3505,8|30,3505,16|31,3505,24|32,3505,26|33,3505,28|34,3505,22|35,3505,19|36,3505,-3|37,3505,-17|38,3505,29|39,3505,39|39,8505,29|40,3505,23|40,8505,49|41,3505,84|42,3505,104|43,8505,153|44,8505,204|46,0505,241|50,0505,264|51,5505,275|"
60635000;2;23/09/1993;01/01/1900 07:00;1;2;48;"37,0";"54,9442";"17,9442";"-9,0";"371,0";"10,0";;"7,9442,337|20,9442,371|22,7442,364|22,9442,355|23,3442,344|23,7442,314,5|24,4442,285|24,6442,267|25,0442,247|25,6442,234|26,8442,194|27,0442,171|27,6442,116|27,8442,67|28,0442,13|28,5442,7|29,0442,1|29,5442,5|30,0442,17|30,5442,21|31,0442,29|31,5442,29|32,0442,29|32,5442,25|33,0442,25|33,5442,25|34,0442,25|34,5442,19|35,0442,17|35,5442,1|36,0442,-7|36,5442,-9|37,0442,-9|37,5442,-5|38,0442,-3|38,5442,17|39,0442,36|39,5442,43|40,0442,28|40,8442,67|42,0442,103|44,0442,169|45,3442,236|46,3442,276|47,6442,270|49,6442,263|50,9442,273|54,9442,291|"
