Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoCurva: 1 = Equação, 2 = Tabela
TipoEquacao: 1 = Potência (Q(H) = a(H - h0)^n), 2 = Linear (Q(H) = a0 + a1H), 3 = Parabólica (Q(H) = a0 + a1H + a2H^2), 4 = Cúbica (Q(H) = a0 + a1H + a2H^2 + a3H^3)

Restrições da consulta:
Código da Estação:60640000


EstacaoCodigo;NivelConsistencia;PeriodoValidadeInicio;PeriodoValidadeFim;CotaMaxima;CotaMinima;TipoCurva;NumeroCurva;TipoEquacao;CoefA;CoefH0;CoefN;CoefA0;CoefA1;CoefA2;CoefA3;TabelaPassoCota;TabelaVazao
60640000;2;16/02/1988;24/11/1989;"650,0";"379,0";1;03/03;1;"6,6974";"-0,26";"1,6";;;;;"1,0";
60640000;2;25/11/1989;23/03/2006;"588,0";"140,0";1;01/02;1;"19,094";"1,29";"1,218";;;;;"1,0";
60640000;2;25/11/1989;23/03/2006;"650,0";"588,0";1;02/02;1;"6,6974";"-0,26";"1,6";;;;;"1,0";
60640000;2;24/05/1977;30/06/1980;"650,0";"368,0";1;02/02;1;"6,6974";"-0,26";"1,6";;;;;"1,0";
60640000;2;01/07/1980;07/04/1985;"194,0";"170,0";1;01/03;1;"3,174";"0,4";"3,0";;;;;"1,0";
60640000;2;01/07/1980;07/04/1985;"379,0";"194,0";1;02/03;1;"20,49";"1,31";"1,233";;;;;"1,0";
60640000;2;01/07/1980;07/04/1985;"650,0";"379,0";1;03/03;1;"6,6974";"-0,26";"1,6";;;;;"1,0";
60640000;2;08/04/1985;15/02/1988;"233,0";"170,0";1;01/03;1;"21,3135";"1,38";"1,2";;;;;"1,0";
60640000;2;08/04/1985;15/02/1988;"588,0";"233,0";1;02/03;1;"19,094";"1,29";"1,218";;;;;"1,0";
60640000;1;21/11/2018;13/01/2022;"256,0";"120,0";1;01/03;1;"10,61";"1,01";"1,817";;;;;;
60640000;1;21/11/2018;13/01/2022;"530,0";"256,0";1;02/03;1;"13,655";"1,09";"1,41";;;;;;
60640000;1;21/11/2018;13/01/2022;"700,0";"530,0";1;03/03;1;"19,094";"1,29";"1,218";;;;;;
60640000;1;14/01/2022;31/12/2025;"189,0";"120,0";1;01/03;1;"11,6226";"1,01";"2,285";;;;;"1,0";
60640000;1;14/01/2022;31/12/2025;"502,0";"189,0";1;02/03;1;"12,9531";"1,13";"1,466";;;;;"1,0";
60640000;1;14/01/2022;31/12/2025;"700,0";"502,0";1;03/03;1;"19,094";"1,29";"1,218";;;;;"1,0";
